season_file,plays,games,touchdowns,fg_made,xp_good,two_pt_success,safeties,ot_plays,quarter_anomalies,season_mismatch,playtype_pct::pass,playtype_pct::run,playtype_pct::no_play,playtype_pct::kickoff,playtype_pct::punt,playtype_pct::extra_point,playtype_pct::nan,playtype_pct::field_goal,playtype_pct::qb_kneel,playtype_pct::qb_spike
2020,47705,269,1543,859,1298,66,24,228,0,0,0.4231,0.2946,0.0895,0.0607,0.0418,0.0292,0.0286,0.0213,0.0094,0.0018
2021,49922,285,1494,918,1235,79,8,492,0,0,0.4209,0.2956,0.0945,0.0583,0.0438,0.0265,0.0293,0.0216,0.0082,0.0015
2022,49434,284,1390,944,1183,62,13,438,0,0,0.4125,0.3042,0.0923,0.0573,0.0464,0.0253,0.0293,0.0224,0.0089,0.0013
2023,49665,285,1377,950,1187,73,18,267,0,0,0.4173,0.2995,0.0917,0.0571,0.0474,0.0249,0.0292,0.0223,0.0091,0.0014
2024,49492,285,1461,982,1245,60,17,259,0,0,0.4042,0.304,0.0997,0.0596,0.0428,0.0263,0.0295,0.0236,0.0088,0.0015
