season,position_group,passing_yards_min,passing_yards_max,passing_yards_p10,passing_yards_p25,passing_yards_p50,passing_yards_p75,passing_yards_p90,passing_tds_min,passing_tds_max,passing_tds_p10,passing_tds_p25,passing_tds_p50,passing_tds_p75,passing_tds_p90,interceptions_min,interceptions_max,interceptions_p10,interceptions_p25,interceptions_p50,interceptions_p75,interceptions_p90,rushing_yards_min,rushing_yards_max,rushing_yards_p10,rushing_yards_p25,rushing_yards_p50,rushing_yards_p75,rushing_yards_p90,rushing_tds_min,rushing_tds_max,rushing_tds_p10,rushing_tds_p25,rushing_tds_p50,rushing_tds_p75,rushing_tds_p90,receiving_yards_min,receiving_yards_max,receiving_yards_p10,receiving_yards_p25,receiving_yards_p50,receiving_yards_p75,receiving_yards_p90,receiving_tds_min,receiving_tds_max,receiving_tds_p10,receiving_tds_p25,receiving_tds_p50,receiving_tds_p75,receiving_tds_p90,fantasy_points_min,fantasy_points_max,fantasy_points_p10,fantasy_points_p25,fantasy_points_p50,fantasy_points_p75,fantasy_points_p90,fantasy_points_ppr_min,fantasy_points_ppr_max,fantasy_points_ppr_p10,fantasy_points_ppr_p25,fantasy_points_ppr_p50,fantasy_points_ppr_p75,fantasy_points_ppr_p90
2021,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,12.0,1.52,3.2,6.0,9.0,10.8,1.4,12.0,2.32,3.7,6.0,9.0,10.8
2021,OL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,21.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.2,6.5,0.0,0.0,6.1,6.2,6.3999999999999995,0.0,8.4,0.0,0.4,7.1,7.2,7.5
2021,QB,0.0,5316.0,4.200000000000001,141.0,740.0,3128.5,4199.799999999999,0.0,43.0,0.0,0.5,4.0,17.5,31.799999999999983,0.0,17.0,0.0,0.0,3.0,10.0,13.0,-8.0,784.0,-1.0,4.0,43.0,148.5,310.79999999999995,0.0,10.0,0.0,0.0,0.0,2.0,3.0,-4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.24,402.58,0.2,9.0,50.88,210.39,309.796,-3.24,402.58,0.2,9.0,51.88,210.39,309.796
2021,RB,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,1811.0,4.0,23.0,125.0,491.0,825.2000000000002,0.0,18.0,0.0,0.0,1.0,3.0,6.0,-1.0,647.0,0.0,11.0,60.0,181.0,314.8,0.0,8.0,0.0,0.0,0.0,1.0,2.0,-0.9999999999999999,333.1,1.3,6.7,28.5,90.4,159.44000000000003,-0.1,373.1,2.0,8.9,36.6,117.2,196.72000000000003
2021,SPEC,0.0,38.0,0.0,0.0,0.0,0.5,14.600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.17500000000000002,0.6160000000000001,0.0,1.52,0.0,0.0,0.0,0.17500000000000002,0.6160000000000001
2021,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1361.0,8.0,33.5,117.0,281.0,589.4000000000001,0.0,9.0,0.0,0.0,1.0,3.0,4.0,-1.4,194.1,0.8,3.55,17.7,39.25,85.04,-1.4,301.1,1.9,7.6,32.6,69.55,145.98000000000002
2021,WR,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,365.0,0.0,0.0,0.0,11.0,37.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,-7.0,1947.0,9.0,36.0,212.5,520.5,941.5,0.0,16.0,0.0,0.0,1.0,3.0,6.0,-2.7,294.5,1.0,5.425000000000001,30.5,72.55,134.9,-0.7,439.5,2.15,8.85,46.75,110.75,210.56
2022,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,55.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3,19.8,0.0,0.1,0.3,6.0,6.0,-0.3,23.8,0.0,0.1,0.3,6.0,6.0
2022,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.5,3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,7.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0,0.36,0.4,1.2,6.0,6.0,0.3,6.0,0.36,0.8999999999999999,2.2,6.0,6.0
2022,OL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.5,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.45,0.7200000000000001,0.0,1.9,0.0,0.0,0.0,0.95,1.52
